Comparison Type,Transformation Type,Step,Average_Cosine_Similarity_BLIP2,Average_SSIM_DINO,MMD_BLIP2,MMD_ViT,Wasserstein_Distance_BLIP2
ImageNet-100 vs Non-Resale Data,non-resale,1,0.7537492,0.1062646098703214,0.0050512552261352,0.0058319568634033,39.81783450755664
ImageNet-100 vs Non-Resale Data,non-resale,10,0.757837,0.1042904645129315,0.0051288604736328,0.008725881576538,39.13519257241105
ImageNet-100 vs Non-Resale Data,non-resale,11,0.75534695,0.1113031292245567,0.0028712749481201,0.0042204856872558,38.73720508458661
ImageNet-100 vs Non-Resale Data,non-resale,12,0.7565984,0.1180226001827097,0.0052425861358642,0.0062884092330932,39.216213870097654
ImageNet-100 vs Non-Resale Data,non-resale,13,0.7548186,0.1015462306713618,0.0031620264053344,0.0051684379577636,38.88023813803989
ImageNet-100 vs Non-Resale Data,non-resale,14,0.7563948,0.1133857916684034,0.0046061277389526,0.0042672157287597,38.65953508088083
ImageNet-100 vs Non-Resale Data,non-resale,15,0.75114214,0.1102562741735857,0.0048503875732421,0.0052415132522583,39.60758220271055
ImageNet-100 vs Non-Resale Data,non-resale,16,0.75966156,0.1044356787290185,0.0064531564712524,0.0071898698806762,39.97899267292985
ImageNet-100 vs Non-Resale Data,non-resale,17,0.74863714,0.1161089806069747,0.0039311647415161,0.0047305822372436,39.08900865157444
ImageNet-100 vs Non-Resale Data,non-resale,18,0.7417555,0.1051969134412307,0.0075131654739379,0.0073368549346923,39.94348922119924
ImageNet-100 vs Non-Resale Data,non-resale,19,0.7536716,0.1051342895931679,0.0092270374298095,0.0068949460983276,39.92144902681046
ImageNet-100 vs Non-Resale Data,non-resale,2,0.75438577,0.1001064403766728,0.0053733587265014,0.0060541629791259,39.881255357486694
ImageNet-100 vs Non-Resale Data,non-resale,20,0.7492524,0.1092169573791601,0.009877324104309,0.0084781646728515,39.52634245568131
ImageNet-100 vs Non-Resale Data,non-resale,21,0.75932217,0.0962383098565168,0.0035357475280761,0.0039031505584716,39.39524806956653
ImageNet-100 vs Non-Resale Data,non-resale,22,0.7488817,0.1073071952223482,0.0040524005889892,0.0043236017227172,38.88451063740012
ImageNet-100 vs Non-Resale Data,non-resale,23,0.7618852,0.1054076506446466,0.0038959980010986,0.0056511163711547,38.81658854283777
ImageNet-100 vs Non-Resale Data,non-resale,24,0.75823295,0.1112100551613373,0.0045195817947387,0.0047160387039184,39.12453713869808
ImageNet-100 vs Non-Resale Data,non-resale,25,0.754206,0.099406942980106,0.003412127494812,0.0046387910842895,39.36244365692139
ImageNet-100 vs Non-Resale Data,non-resale,26,0.74145025,0.10598597162042,0.0057663917541503,0.0067155361175537,39.09463530858357
ImageNet-100 vs Non-Resale Data,non-resale,27,0.7602268,0.1061284886842659,0.0033626556396484,0.0040913820266723,38.79034395060587
ImageNet-100 vs Non-Resale Data,non-resale,28,0.73418635,0.1133897255645676,0.0089741945266723,0.0072842836380004,39.444947679500366
ImageNet-100 vs Non-Resale Data,non-resale,29,0.76030827,0.0978396241625222,0.0039396286010742,0.0054794549942016,39.083062553307435
ImageNet-100 vs Non-Resale Data,non-resale,3,0.74904877,0.1024062629250927,0.0067609548568725,0.0059268474578857,39.84594827752362
ImageNet-100 vs Non-Resale Data,non-resale,30,0.75170213,0.1266868831842277,0.003616452217102,0.0026521682739257,39.523348550212624
ImageNet-100 vs Non-Resale Data,non-resale,31,0.7510787,0.1140785930116518,0.0045932531356811,0.0042307376861572,39.60553822153617
ImageNet-100 vs Non-Resale Data,non-resale,32,0.75045747,0.10552526460445,0.005486249923706,0.0049697160720825,39.766615388769864
ImageNet-100 vs Non-Resale Data,non-resale,33,0.7565595,0.1037463041340456,0.0037451982498168,0.0048563480377197,39.067768478393546
ImageNet-100 vs Non-Resale Data,non-resale,34,0.7550314,0.1081078916429055,0.0034233331680297,0.0035873651504516,38.46312024831772
ImageNet-100 vs Non-Resale Data,non-resale,35,0.7572643,0.1001609721028458,0.0042245388031005,0.0044938325881958,39.41459079431029
ImageNet-100 vs Non-Resale Data,non-resale,36,0.7560312,0.1190717910372134,0.0041462182998657,0.0045427083969116,39.54535553332453
ImageNet-100 vs Non-Resale Data,non-resale,37,0.7535353,0.1077592233606089,0.0047047138214111,0.0044679641723632,39.03895034779781
ImageNet-100 vs Non-Resale Data,non-resale,38,0.7582878,0.1047431982876527,0.0034607648849487,0.0050647258758544,39.63117013533906
ImageNet-100 vs Non-Resale Data,non-resale,39,0.7674488,0.0996114059437544,0.004583716392517,0.0062317848205566,39.883620834350545
ImageNet-100 vs Non-Resale Data,non-resale,4,0.74834704,0.1048273170075522,0.0036779642105102,0.0044507980346679,38.69677035967507
ImageNet-100 vs Non-Resale Data,non-resale,40,0.76433384,0.1142060602260387,0.0030715465545654,0.0051449537277221,39.14720415602338
ImageNet-100 vs Non-Resale Data,non-resale,41,0.75707597,0.1044588051665409,0.0044353008270263,0.0056113004684448,39.66158711180395
ImageNet-100 vs Non-Resale Data,non-resale,42,0.76235485,0.1183479922455743,0.0043562650680541,0.0055912733078002,39.33411993821462
ImageNet-100 vs Non-Resale Data,non-resale,43,0.7497544,0.1024153176957419,0.0066587924957275,0.0058735609054565,39.94952611128488
ImageNet-100 vs Non-Resale Data,non-resale,5,0.76046616,0.1131339068264375,0.003566026687622,0.0049283504486083,39.650168637344514
ImageNet-100 vs Non-Resale Data,non-resale,6,0.760817,0.1120728798987547,0.003583550453186,0.0037245750427246,39.5100901321529
ImageNet-100 vs Non-Resale Data,non-resale,7,0.7527421,0.1096632301487623,0.0050221681594848,0.0056968927383422,39.39902000972205
ImageNet-100 vs Non-Resale Data,non-resale,8,0.7680452,0.1041797082799854,0.0042810440063476,0.0048005580902099,39.24117263620549
ImageNet-100 vs Non-Resale Data,non-resale,9,0.7665737,0.1052404129412615,0.0036903619766235,0.0040278434753417,39.41058464456113
